S/N,Warehouse,Order date,Delivery date,Customer,Zipcode
30,Washington,09/01/2021 22:32,09/03/2021 20:47,2817,15241
31,Butler,09/01/2021 23:17,09/02/2021 20:03,17087,15367
32,Washington,10/01/2021 07:04,10/05/2021 14:43,2817,15241
33,Beaver,10/01/2021 07:04,10/04/2021 14:44,2817,15241
34,Beaver,10/01/2021 10:19,10/06/2021 12:49,24342,15237
35,Butler,10/01/2021 10:48,10/04/2021 14:14,15985,15220
36,Beaver,10/01/2021 11:55,10/07/2021 15:18,18127,15221
37,Washington,10/01/2021 13:44,10/04/2021 17:15,3570,15241
38,McKees Rocks,10/01/2021 15:57,10/04/2021 14:14,13957,15220
39,McKees Rocks,10/01/2021 17:44,10/04/2021 14:31,20043,15228
40,Butler,10/01/2021 18:57,10/04/2021 14:32,20043,15228
41,Beaver,10/01/2021 19:03,10/06/2021 14:30,14375,15227
42,Butler,10/01/2021 19:37,10/05/2021 14:43,17087,15367
43,Beaver,11/01/2021 08:16,11/03/2021 14:55,2817,15241
44,Washington,11/01/2021 10:05,11/02/2021 16:07,33489,15222
45,Washington,11/01/2021 11:34,11/05/2021 13:38,39761,15057
46,Beaver,11/01/2021 19:14,11/03/2021 15:49,11565,15317
47,Washington,11/01/2021 19:36,11/02/2021 14:48,23907,15216
48,McKees Rocks,11/01/2021 20:40,11/03/2021 14:55,26845,15237
49,Washington,11/01/2021 21:04,11/02/2021 14:48,12846,15106
50,Butler,11/01/2021 21:53,11/03/2021 14:55,214,15220
51,McKees Rocks,11/01/2021 22:52,11/03/2021 17:35,17477,15129
52,Beaver,11/01/2021 22:52,11/03/2021 17:38,17477,15129
53,Butler,12/01/2021 08:06,12/06/2021 16:40,47257,15044
54,Washington,12/01/2021 08:49,12/03/2021 15:57,2817,15241
55,Beaver,12/01/2021 08:50,12/03/2021 15:57,2817,15241
56,McKees Rocks,12/01/2021 09:34,12/03/2021 15:57,20043,15228
57,Butler,12/01/2021 09:35,12/03/2021 15:57,20043,15228
58,Washington,12/01/2021 14:04,12/02/2021 15:31,11396,15220
59,Butler,12/01/2021 14:06,12/03/2021 15:57,11396,15220
60,Beaver,12/01/2021 14:06,12/03/2021 15:57,11396,15220
61,McKees Rocks,12/01/2021 14:09,12/03/2021 15:57,11396,15220
62,Washington,12/01/2021 20:05,12/06/2021 16:40,17477,15129
63,McKees Rocks,12/01/2021 20:06,12/06/2021 16:40,17477,15129
64,Butler,12/01/2021 20:43,12/03/2021 16:08,36939,15220
65,Washington,12/01/2021 20:46,12/02/2021 16:26,57160,15206
66,Washington,03/02/2021 07:30,03/02/2021 14:18,8240,15317
67,McKees Rocks,03/02/2021 07:32,03/02/2021 14:18,8240,15317
68,McKees Rocks,04/02/2021 07:47,04/02/2021 16:10,484,15102
69,Washington,04/02/2021 11:23,04/05/2021 16:44,13171,15317
70,Washington,04/02/2021 21:21,04/05/2021 16:28,2715,15317
71,Washington,04/02/2021 23:03,04/05/2021 17:22,14165,15205
72,Washington,05/02/2021 19:42,05/03/2021 16:22,8240,15317
73,Washington,05/02/2021 20:25,05/03/2021 16:22,12846,15106
74,Washington,06/02/2021 12:26,06/03/2021 14:42,17087,15367
75,Butler,06/02/2021 15:58,06/04/2021 20:06,374,15057
76,Washington,06/02/2021 19:53,06/03/2021 14:59,17477,15102
77,Butler,06/02/2021 19:53,06/03/2021 14:57,17477,15102
78,Washington,07/02/2021 19:09,07/07/2021 12:17,18369,15205
79,Butler,07/02/2021 20:48,07/06/2021 13:26,9032,15241
80,Washington,07/02/2021 20:49,07/06/2021 13:25,9032,15241
81,McKees Rocks,07/02/2021 20:53,07/06/2021 13:26,9032,15241
82,Beaver,08/02/2021 13:11,08/05/2021 17:07,16332,15317
83,McKees Rocks,08/02/2021 13:12,08/03/2021 16:57,16332,15317
84,Butler,08/02/2021 13:12,08/03/2021 16:57,16332,15317
85,Beaver,08/02/2021 19:25,08/04/2021 18:24,23907,15216
86,Washington,08/02/2021 19:57,08/03/2021 19:06,2956,15241
87,McKees Rocks,08/02/2021 19:59,08/03/2021 18:21,2223,15317
88,Washington,08/02/2021 20:01,08/03/2021 18:20,2223,15317
89,Butler,08/02/2021 20:02,08/03/2021 18:22,2223,15317
90,Butler,08/02/2021 22:14,08/03/2021 18:38,8240,15317
91,Butler,08/02/2021 22:55,08/03/2021 19:20,11326,15228
92,McKees Rocks,08/02/2021 23:37,08/03/2021 16:45,17087,15367
93,Butler,08/02/2021 23:38,08/03/2021 16:46,17087,15367
94,Butler,09/02/2021 00:09,09/07/2021 17:04,3139,15044
95,Washington,09/02/2021 06:54,09/02/2021 20:03,8240,15317
96,McKees Rocks,09/02/2021 09:07,09/03/2021 20:47,2817,15241
97,Butler,09/02/2021 10:04,09/07/2021 17:04,21332,15205
98,Washington,09/02/2021 14:05,09/03/2021 20:47,11396,15211
99,Butler,09/02/2021 17:27,09/07/2021 17:04,26228,15233
100,McKees Rocks,09/02/2021 20:50,09/03/2021 20:47,17087,15367
101,Butler,11/02/2021 00:16,11/03/2021 17:01,8240,15317
102,McKees Rocks,11/02/2021 00:16,11/03/2021 17:01,8240,15317
103,Washington,11/02/2021 10:36,11/05/2021 13:38,42852,15237
104,Beaver,11/02/2021 18:37,11/08/2021 14:23,11658,15129
105,McKees Rocks,12/02/2021 09:27,12/03/2021 15:57,2817,15241
106,Washington,12/02/2021 09:27,12/03/2021 15:57,2817,15241
107,McKees Rocks,12/02/2021 13:04,12/06/2021 16:40,47136,15237
108,Beaver,12/02/2021 16:26,12/06/2021 17:12,57160,15206
109,Beaver,12/02/2021 19:38,12/03/2021 15:57,24338,15228
110,McKees Rocks,12/02/2021 19:49,12/03/2021 15:57,45583,15301
111,Washington,12/02/2021 20:14,12/06/2021 16:40,52889,15044
112,McKees Rocks,12/02/2021 21:45,12/03/2021 15:57,11396,15220
113,Washington,12/02/2021 23:05,12/03/2021 15:57,11326,15228
114,Washington,03/03/2021 16:57,03/04/2021 13:07,12430,15317
115,McKees Rocks,03/03/2021 21:49,03/04/2021 13:30,13565,15102
116,Butler,05/03/2021 15:21,05/04/2021 11:32,15985,15220
117,Butler,05/03/2021 22:07,05/04/2021 15:43,16698,15212
118,Washington,05/03/2021 22:16,05/05/2021 17:43,16698,15212
119,Butler,06/03/2021 00:23,06/03/2021 16:04,1761,15227
120,Butler,06/03/2021 00:23,06/03/2021 15:23,13957,15220
121,McKees Rocks,06/03/2021 04:09,06/03/2021 14:59,17477,15102
122,Butler,06/03/2021 05:22,06/04/2021 17:51,7679,15044
123,Butler,06/03/2021 07:04,06/03/2021 14:34,3567,15301
124,McKees Rocks,06/03/2021 07:30,06/03/2021 14:34,3139,15044
125,Butler,06/03/2021 08:29,06/04/2021 20:05,374,15057
126,Butler,06/03/2021 21:16,06/07/2021 16:25,15449,15228
127,Butler,06/03/2021 21:37,06/04/2021 19:06,11326,15228
128,Butler,06/03/2021 21:43,06/04/2021 19:26,12392,15017
129,Washington,08/03/2021 07:36,08/03/2021 18:56,2817,15241
130,McKees Rocks,08/03/2021 07:40,08/03/2021 18:56,2817,15241
131,Butler,08/03/2021 07:40,08/03/2021 18:55,2817,15241
132,Beaver,08/03/2021 07:41,08/05/2021 17:07,2817,15241
133,Washington,08/03/2021 19:19,08/05/2021 17:07,2223,15317
134,McKees Rocks,08/03/2021 19:20,08/05/2021 17:07,2223,15317
135,Washington,08/03/2021 19:34,08/04/2021 18:35,11326,15228
136,Washington,08/03/2021 20:44,08/05/2021 17:09,2956,15241
137,Washington,08/03/2021 21:34,08/04/2021 18:13,8240,15317
138,McKees Rocks,08/03/2021 22:34,08/05/2021 17:07,17087,15367
139,McKees Rocks,08/03/2021 22:50,08/05/2021 17:07,9032,15241
140,Butler,08/03/2021 22:51,08/05/2021 17:07,9032,15241
141,Beaver,09/03/2021 00:49,09/10/2021 11:56,9032,15241
142,Butler,09/03/2021 00:50,09/07/2021 17:04,9032,15241
143,McKees Rocks,09/03/2021 13:03,09/07/2021 17:38,3570,15241
144,Butler,09/03/2021 16:57,09/07/2021 18:39,1882,15235
145,McKees Rocks,09/03/2021 18:49,09/07/2021 18:10,20842,15213
146,McKees Rocks,09/03/2021 19:50,09/09/2021 13:29,17087,15367
147,Washington,09/03/2021 23:24,09/07/2021 17:04,9032,15241
148,Beaver,11/03/2021 08:59,11/05/2021 13:38,13512,15301
149,Butler,11/03/2021 09:17,11/09/2021 08:53,21332,15205
150,McKees Rocks,11/03/2021 09:25,11/04/2021 13:39,17477,15129
151,Washington,11/03/2021 09:26,11/04/2021 13:45,17477,15129
152,Washington,11/03/2021 10:22,11/05/2021 13:38,33489,15237
153,Butler,11/03/2021 10:47,11/05/2021 13:38,36939,15220
154,Washington,11/03/2021 10:54,11/05/2021 13:38,27080,15228
155,Washington,11/03/2021 13:38,11/04/2021 17:41,11396,15220
156,McKees Rocks,11/03/2021 13:39,11/04/2021 10:29,11396,15220
157,Butler,11/03/2021 19:26,11/08/2021 14:23,45583,15301
158,Butler,11/03/2021 19:53,11/04/2021 16:26,47257,15044
159,Butler,11/03/2021 20:13,11/04/2021 17:35,11396,15220
160,Beaver,11/03/2021 20:18,11/05/2021 13:38,11396,15220
161,Beaver,11/03/2021 20:27,11/08/2021 14:23,45156,15212
162,Beaver,12/03/2021 05:27,12/06/2021 16:40,14241,15236
163,Beaver,12/03/2021 07:33,12/03/2021 15:57,2817,15241
164,Washington,12/03/2021 08:59,12/06/2021 16:40,24342,15237
165,Beaver,12/03/2021 09:31,12/09/2021 19:34,14241,15236
166,McKees Rocks,12/03/2021 20:11,12/06/2021 16:40,7679,15044
167,McKees Rocks,12/03/2021 21:01,12/07/2021 12:26,2640,15241
168,Butler,03/04/2021 00:53,03/05/2021 13:22,13442,15220
169,Butler,03/04/2021 20:57,03/05/2021 12:56,9000,15241
170,Butler,03/04/2021 22:07,03/05/2021 12:37,8240,15317
171,Washington,03/04/2021 22:09,03/05/2021 12:38,8240,15317
172,Butler,05/04/2021 11:12,05/05/2021 17:09,232,15301
173,Butler,05/04/2021 21:27,05/05/2021 17:09,11067,15301
174,Washington,06/04/2021 06:47,06/04/2021 17:51,7679,15044
175,Washington,06/04/2021 08:14,06/07/2021 15:14,8240,15317
176,Butler,06/04/2021 08:15,06/07/2021 15:14,8240,15317
177,Washington,06/04/2021 20:12,06/07/2021 15:42,12392,15017
178,Butler,06/04/2021 20:21,06/07/2021 16:10,2956,15241
179,Butler,06/04/2021 20:32,06/07/2021 12:28,18369,15205
180,McKees Rocks,06/04/2021 21:03,06/07/2021 16:38,13957,15220
181,Butler,06/04/2021 23:48,06/07/2021 13:47,13512,15301
182,Washington,08/04/2021 01:46,08/06/2021 15:05,11658,15129
183,Butler,08/04/2021 01:47,08/06/2021 15:08,11658,15129
184,Beaver,08/04/2021 19:16,8/16/2021 17:59,17087,15367
185,Washington,08/04/2021 20:53,08/05/2021 17:35,24338,15228
186,Beaver,08/04/2021 21:08,8/17/2021 15:14,2223,15317
187,Washington,08/04/2021 21:08,08/05/2021 17:07,2223,15317
188,McKees Rocks,08/04/2021 21:10,08/05/2021 17:07,2223,15317
189,Butler,08/04/2021 22:38,08/05/2021 17:20,14650,15102
190,Washington,09/04/2021 11:31,09/09/2021 13:25,26228,15233
191,Butler,09/04/2021 16:09,09/07/2021 18:31,18017,15235
192,Beaver,09/04/2021 17:20,09/09/2021 13:25,15985,15220
193,Washington,10/04/2021 19:00,10/06/2021 12:52,7679,15044
194,Butler,10/04/2021 19:00,10/06/2021 12:06,23907,15216
195,Beaver,10/04/2021 22:03,10/06/2021 13:59,27080,15228
196,Washington,11/04/2021 09:17,11/08/2021 17:18,1882,15235
197,McKees Rocks,11/04/2021 12:24,11/05/2021 13:38,12846,15106
198,Washington,11/04/2021 17:47,11/08/2021 14:23,16332,15317
199,Butler,11/04/2021 19:29,11/09/2021 08:42,36939,15220
200,Beaver,11/04/2021 19:45,11/10/2021 14:53,21332,15205
201,Washington,11/04/2021 19:49,11/08/2021 14:23,2817,15241
202,McKees Rocks,11/04/2021 19:50,11/08/2021 14:23,2817,15241
203,Beaver,11/04/2021 20:33,11/08/2021 14:23,13565,15102
204,Butler,11/04/2021 20:42,11/09/2021 14:04,47136,15237
205,Washington,12/04/2021 03:48,12/06/2021 17:34,18127,15221
206,Butler,12/04/2021 19:39,12/09/2021 19:34,47257,15044
207,Washington,12/04/2021 19:40,12/06/2021 16:40,47257,15044
208,Washington,03/05/2021 20:28,03/08/2021 16:05,12392,15017
209,Butler,04/05/2021 22:49,04/06/2021 13:21,8240,15317
210,Butler,04/05/2021 23:01,04/06/2021 13:21,14650,15102
211,Butler,05/05/2021 20:11,05/06/2021 13:33,15638,15090
212,Butler,05/05/2021 20:56,05/06/2021 15:19,15449,15228
213,Butler,05/05/2021 22:18,05/06/2021 17:53,14347,15227
214,Butler,07/05/2021 15:09,07/06/2021 13:55,11658,15129
215,McKees Rocks,07/05/2021 15:09,07/06/2021 13:55,11658,15129
216,Butler,07/05/2021 20:50,07/06/2021 12:31,728,15301
217,Butler,08/05/2021 03:51,08/06/2021 16:29,11396,15211
218,Beaver,08/05/2021 07:51,8/16/2021 16:29,23907,15216
219,Butler,08/05/2021 07:51,08/05/2021 17:49,23907,15216
220,Butler,08/05/2021 07:54,08/05/2021 17:07,2817,15241
221,Washington,08/05/2021 07:55,08/05/2021 17:07,2817,15241
222,McKees Rocks,08/05/2021 07:56,08/05/2021 17:07,2817,15241
223,Washington,08/05/2021 08:38,08/06/2021 15:43,2817,15241
224,Beaver,08/05/2021 09:46,8/19/2021 15:35,1882,15235
225,Butler,08/05/2021 10:44,08/06/2021 15:08,11658,15129
226,Beaver,08/05/2021 10:45,8/17/2021 20:12,11658,15129
227,McKees Rocks,08/05/2021 10:45,08/06/2021 15:10,11658,15129
228,Washington,08/05/2021 19:26,08/06/2021 14:18,2223,15317
229,Beaver,08/05/2021 19:41,8/16/2021 18:02,17087,15367
230,McKees Rocks,08/05/2021 19:41,08/06/2021 14:42,17087,15367
231,Washington,08/05/2021 20:48,08/06/2021 15:11,11658,15129
232,Butler,08/05/2021 22:04,08/06/2021 16:08,11326,15228
233,Washington,08/05/2021 22:52,08/06/2021 14:18,11565,15317
234,Beaver,10/05/2021 10:50,10/11/2021 16:33,18127,15221
235,Washington,10/05/2021 12:14,10/05/2021 14:43,12680,15317
236,Butler,10/05/2021 15:35,10/06/2021 12:22,11132,15220
237,McKees Rocks,10/05/2021 20:43,10/06/2021 12:51,7679,15044
238,McKees Rocks,10/05/2021 20:52,10/06/2021 12:34,12846,15106
239,Butler,11/05/2021 10:33,11/08/2021 14:23,11658,15129
240,Washington,11/05/2021 11:17,11/08/2021 14:23,11565,15317
241,Washington,11/05/2021 14:11,11/09/2021 08:23,13437,15212
242,Butler,11/05/2021 14:21,11/08/2021 14:23,3567,15301
243,Washington,11/05/2021 20:37,11/08/2021 14:33,17477,15129
244,Washington,12/05/2021 16:23,12/06/2021 16:40,11658,15129
245,McKees Rocks,04/06/2021 21:30,04/07/2021 15:22,12392,15017
246,Butler,04/06/2021 21:31,04/07/2021 15:22,12392,15017
247,Washington,04/06/2021 21:32,04/07/2021 15:22,13171,15317
248,Washington,05/06/2021 18:05,05/07/2021 16:19,16494,15211
249,Butler,05/06/2021 20:56,05/07/2021 16:54,1761,15227
250,Butler,05/06/2021 21:42,05/07/2021 15:54,8240,15317
251,Butler,06/06/2021 15:00,06/07/2021 14:43,8415,15317
252,Butler,07/06/2021 00:39,07/06/2021 13:38,14650,15102
253,McKees Rocks,07/06/2021 06:37,07/06/2021 14:08,12386,15236
254,McKees Rocks,07/06/2021 13:50,07/07/2021 12:17,18369,15205
255,Butler,07/06/2021 20:18,07/07/2021 13:04,374,15057
256,Butler,07/06/2021 20:33,07/07/2021 13:25,728,15301
257,Butler,07/06/2021 23:28,07/08/2021 12:50,9032,15241
258,McKees Rocks,07/06/2021 23:29,07/08/2021 12:51,9032,15241
259,Washington,07/06/2021 23:31,07/08/2021 12:53,9032,15241
260,Beaver,08/06/2021 17:23,8/16/2021 16:39,3567,15301
261,McKees Rocks,08/06/2021 18:54,8/17/2021 15:23,2223,15317
262,Butler,08/06/2021 18:55,8/17/2021 15:28,2223,15317
263,Beaver,08/06/2021 19:09,8/17/2021 15:16,2223,15317
264,Beaver,08/06/2021 21:34,8/16/2021 16:29,1712,15317
265,Beaver,10/06/2021 10:28,10/11/2021 16:33,18127,15221
266,Washington,10/06/2021 11:10,10/07/2021 14:00,11396,15106
267,Butler,10/06/2021 11:10,10/11/2021 13:41,11396,15220
268,Beaver,10/06/2021 11:14,10/11/2021 13:41,11396,15220
269,Washington,10/06/2021 19:40,10/11/2021 15:03,21332,15205
270,McKees Rocks,10/06/2021 19:40,10/11/2021 14:53,21332,15205
271,Butler,10/06/2021 19:40,10/13/2021 20:14,21332,15205
272,Butler,10/06/2021 20:06,10/08/2021 10:44,7679,15044
273,Butler,10/06/2021 21:16,10/08/2021 13:04,17477,15102
274,Washington,10/06/2021 21:17,10/08/2021 13:07,17477,15102
275,Beaver,10/06/2021 21:19,10/13/2021 20:14,17477,15102
276,Washington,10/06/2021 22:31,10/08/2021 12:56,2817,15241
277,McKees Rocks,10/06/2021 23:08,10/08/2021 12:18,17971,15106
278,McKees Rocks,10/06/2021 23:14,10/08/2021 13:53,3567,15301
279,Beaver,10/06/2021 23:15,10/11/2021 13:41,3567,15301
280,McKees Rocks,11/06/2021 10:21,11/08/2021 14:23,11658,15129
281,Washington,12/06/2021 06:07,12/06/2021 16:40,8240,15317
282,Beaver,12/06/2021 13:40,12/09/2021 19:34,11396,15220
283,Washington,12/06/2021 15:40,12/07/2021 13:30,47136,15237
284,Washington,12/06/2021 19:17,12/08/2021 11:28,56434,15317
285,Washington,12/06/2021 19:32,12/07/2021 11:55,16545,15317
286,Butler,12/06/2021 19:54,12/09/2021 19:34,45583,15301
287,Butler,12/06/2021 21:42,12/09/2021 19:34,24151,15236
288,Butler,12/06/2021 22:15,12/09/2021 19:39,2640,15241
289,McKees Rocks,04/07/2021 12:11,04/08/2021 19:12,7679,15044
290,Washington,04/07/2021 14:26,04/08/2021 19:41,3570,15241
291,Washington,04/07/2021 16:39,04/08/2021 19:12,13171,15317
292,Washington,05/07/2021 09:38,05/10/2021 17:54,3139,15044
293,Washington,05/07/2021 11:48,05/10/2021 13:19,10120,15301
294,Butler,05/07/2021 23:25,05/10/2021 14:04,14650,15102
295,Butler,06/07/2021 13:38,06/08/2021 15:43,17477,15102
296,Washington,06/07/2021 17:22,06/08/2021 15:24,11658,15129
297,Butler,06/07/2021 20:38,06/08/2021 13:44,374,15057
298,Washington,06/07/2021 21:52,06/08/2021 16:29,15449,15228
299,Butler,06/07/2021 21:52,06/08/2021 16:28,15449,15228
300,Washington,06/07/2021 22:08,06/08/2021 16:03,3570,15241
301,Beaver,07/07/2021 00:31,07/12/2021 13:54,11658,15129
302,Washington,07/07/2021 07:16,07/08/2021 12:40,17477,15102
303,Washington,07/07/2021 10:03,07/08/2021 13:47,21332,15205
304,Beaver,07/07/2021 12:22,07/09/2021 17:47,24338,15228
305,Butler,07/07/2021 22:27,07/09/2021 14:31,8479,15301
306,Washington,07/07/2021 23:33,07/08/2021 13:14,14650,15102
307,Beaver,08/07/2021 00:40,8/16/2021 16:50,203,15301
308,Butler,08/07/2021 09:37,08/12/2021 16:15,214,15220
309,Beaver,08/07/2021 10:31,8/17/2021 20:15,11658,15129
310,Butler,08/07/2021 10:32,8/17/2021 20:17,11658,15129
311,Washington,08/07/2021 10:33,8/17/2021 20:24,11658,15129
312,Butler,08/07/2021 11:28,8/17/2021 10:21,15985,15220
313,Washington,09/07/2021 08:57,09/08/2021 17:12,27080,15228
314,Washington,09/07/2021 09:22,09/08/2021 17:18,1882,15235
315,Washington,09/07/2021 14:51,09/09/2021 13:25,26228,15233
316,Washington,09/07/2021 20:03,09/09/2021 13:25,11658,15129
317,Butler,09/07/2021 20:03,09/10/2021 16:43,18017,15235
318,McKees Rocks,09/07/2021 20:04,09/09/2021 13:25,11658,15129
319,McKees Rocks,09/07/2021 20:10,09/09/2021 13:25,12846,15106
320,Butler,09/07/2021 20:58,09/10/2021 11:52,2817,15241
321,Beaver,09/07/2021 22:21,09/10/2021 11:51,2817,15241
322,Washington,09/07/2021 22:22,09/08/2021 17:12,2817,15241
323,Butler,09/07/2021 22:24,09/09/2021 13:28,17087,15367
324,Washington,10/07/2021 13:03,10/12/2021 09:49,24342,15237
325,Butler,10/07/2021 19:11,10/13/2021 20:14,21332,15205
326,Washington,11/07/2021 08:43,11/10/2021 14:53,10593,15044
327,Washington,11/07/2021 16:38,11/08/2021 14:23,16332,15317
328,McKees Rocks,11/07/2021 20:48,11/08/2021 14:23,3567,15301
329,Washington,12/07/2021 07:17,12/07/2021 12:34,2817,15241
330,Washington,12/07/2021 18:36,12/09/2021 19:34,52889,15044
331,Washington,12/07/2021 20:39,12/08/2021 13:13,18127,15221
332,Washington,12/07/2021 23:29,12/09/2021 19:34,17477,15129
333,McKees Rocks,12/07/2021 23:29,12/09/2021 19:34,17477,15129
334,Beaver,12/07/2021 23:29,12/13/2021 17:11,17477,15129
335,Butler,12/07/2021 23:30,12/09/2021 19:34,17477,15129
336,Butler,03/08/2021 10:42,03/09/2021 14:07,13306,15301
337,Washington,03/08/2021 12:46,03/09/2021 14:43,13565,15102
338,Butler,04/08/2021 00:31,04/09/2021 16:51,14650,15102
339,McKees Rocks,04/08/2021 02:10,04/08/2021 19:12,12392,15017
340,Washington,04/08/2021 11:42,04/09/2021 17:49,7679,15044
341,Washington,04/08/2021 20:24,04/09/2021 17:58,3139,15044
342,Washington,04/08/2021 20:32,04/09/2021 16:51,12846,15106
343,Washington,04/08/2021 23:13,04/09/2021 16:51,8240,15317
344,Butler,04/08/2021 23:14,04/09/2021 16:51,8240,15317
345,Butler,05/08/2021 08:22,05/10/2021 14:16,11326,15228
346,Washington,06/08/2021 22:01,06/09/2021 15:56,14295,15102
347,Butler,06/08/2021 22:24,06/09/2021 16:28,11326,15228
348,Washington,07/08/2021 06:57,07/08/2021 13:04,2956,15241
349,Washington,07/08/2021 08:47,07/09/2021 16:19,9032,15241
350,Washington,07/08/2021 08:54,07/09/2021 18:15,12392,15017
351,McKees Rocks,07/08/2021 08:59,07/09/2021 14:15,11565,15317
352,Butler,07/08/2021 09:23,07/09/2021 18:58,21332,15205
353,Washington,07/08/2021 09:25,07/09/2021 18:57,21332,15205
354,Washington,07/08/2021 09:43,07/09/2021 17:02,11658,15129
355,Washington,07/08/2021 10:21,07/09/2021 17:52,20043,15228
356,Washington,07/08/2021 11:57,07/09/2021 19:22,13437,15212
357,Beaver,07/08/2021 13:29,07/12/2021 13:20,17087,15367
358,Washington,07/08/2021 13:36,07/09/2021 16:35,2817,15241
359,Butler,07/08/2021 13:44,07/09/2021 16:35,2817,15241
360,Washington,07/08/2021 17:01,07/09/2021 20:01,3139,15044
361,Butler,07/08/2021 17:02,07/09/2021 20:01,3139,15044
362,Beaver,07/08/2021 19:24,7/13/2021 10:30,7679,15044
363,Butler,07/08/2021 22:33,07/09/2021 17:35,14650,15102
364,Washington,08/08/2021 01:59,8/17/2021 9:41,11396,15211
365,Beaver,08/08/2021 05:10,8/17/2021 9:55,11396,15211
366,Butler,08/08/2021 05:11,8/17/2021 9:49,11396,15211
367,Butler,08/08/2021 21:50,8/16/2021 17:57,17087,15367
368,Beaver,08/08/2021 22:44,8/17/2021 18:20,8240,15317
369,Beaver,09/08/2021 15:34,09/10/2021 15:44,11396,15106
370,Butler,09/08/2021 20:01,09/10/2021 15:17,2956,15241
371,Butler,09/08/2021 21:18,09/09/2021 13:29,17087,15367
372,Beaver,09/08/2021 21:26,09/10/2021 12:20,11565,15317
373,Washington,09/08/2021 21:26,09/09/2021 15:06,11565,15317
374,Butler,10/08/2021 07:10,10/11/2021 16:24,1882,15235
375,Butler,10/08/2021 09:05,10/13/2021 20:14,2817,15241
376,McKees Rocks,10/08/2021 16:31,10/11/2021 14:16,8873,15317
377,Beaver,10/08/2021 19:30,10/15/2021 14:49,21332,15205
378,Beaver,10/08/2021 20:38,10/13/2021 20:32,11326,15228
379,Beaver,11/08/2021 00:09,11/10/2021 16:49,16332,15317
380,Butler,11/08/2021 10:03,11/10/2021 17:29,17477,15129
381,Beaver,11/08/2021 14:19,11/10/2021 14:53,11396,15220
382,Butler,11/08/2021 14:19,11/10/2021 14:53,11396,15220
383,Washington,11/08/2021 14:20,11/09/2021 13:28,11396,15220
384,McKees Rocks,11/08/2021 14:20,11/09/2021 09:48,11396,15220
385,Beaver,11/08/2021 19:11,11/10/2021 14:53,9032,15241
386,Butler,11/08/2021 19:16,11/10/2021 14:53,21332,15205
387,Butler,11/08/2021 19:50,11/10/2021 14:53,9032,15241
388,Beaver,11/08/2021 20:29,11/10/2021 14:53,23907,15216
389,Washington,11/08/2021 20:44,11/10/2021 17:30,17477,15129
390,McKees Rocks,11/08/2021 20:45,11/10/2021 17:29,17477,15129
391,McKees Rocks,11/08/2021 20:48,11/09/2021 10:16,51930,15226
392,Washington,11/08/2021 22:05,11/09/2021 13:56,33489,15237
393,Beaver,11/08/2021 22:15,11/11/2021 13:52,13512,15301
394,Washington,12/08/2021 01:24,12/09/2021 19:34,42852,15237
395,McKees Rocks,12/08/2021 09:04,12/09/2021 19:34,13957,15220
396,Washington,12/08/2021 09:52,12/09/2021 19:34,24342,15237
397,Butler,12/08/2021 09:52,12/09/2021 19:34,24342,15237
398,McKees Rocks,12/08/2021 09:53,12/09/2021 19:34,24342,15237
399,Washington,12/08/2021 10:57,12/09/2021 19:34,9032,15241
400,Washington,12/08/2021 11:24,12/10/2021 14:15,40694,15120
